标题,简介,豆瓣评分,创建时间
小镇做题家,谢爱磊 / 2024 / 上海三联书店,6.5,2024-05-28 07:47:04
第七天,余华 / 2018 / 新星出版社,8.2,2024-05-27 12:52:48
商业银行资产负债管理实践,王良 薛斐 / 2021 / 中信出版社,9.0,2024-05-27 12:52:33
一位银行家的管理笔记,刘晓春 / 2019 / 中信出版社,7.8,2024-05-27 12:52:04
二把手,唐达天 / 2011 / 中信出版社,6.8,2024-05-27 12:51:43
太白金星有点烦,马伯庸 / 2023 / 湖南文艺出版社,9.0,2024-05-27 12:37:19
王剑讲银行业:基本逻辑与分析方法,王剑 / 2021 / 机械工业出版社,8.3,2024-05-27 12:35:27
亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) / 2015 / 人民邮电出版社,9.2,2024-05-27 12:34:54
工作、消费主义和新穷人,[英]齐格蒙特·鲍曼 / 2021 / 上海社会科学院出版社,8.3,2024-05-27 12:33:30
学神,姜以琳 / 2024 / 中信出版集团,6.8,2024-05-27 09:20:53
重组与突破,黄奇帆 / 2024 / 中信出版集团,8.7,2024-05-27 07:32:23
清算,[美] 何柔宛 / 2018 / 华东师范大学出版社,7.6,2024-05-27 07:30:47
新卖桔者言,张五常 / 2010年1月 / 中信出版社,8.0,2024-05-16 16:07:36
票据法概论（增订二版）,谢怀栻 / 2017 / 法律出版社,9.2,2024-05-12 16:14:17
证券法通识,何海锋 / 2022,7.5,2024-05-12 16:12:59
精英的傲慢,[美]迈克尔·桑德尔 / 2021 / 中信出版社,7.8,2024-05-10 07:40:18
弱传播,邹振东 / 2018 / 国家行政学院出版社,7.3,2024-05-10 07:37:49
何以帝国,刘守刚 / 2022 / 浙江人民出版社,7.6,2024-05-02 12:25:09
存在主义咖啡馆,[英] 莎拉·贝克韦尔 / 2017 / 北京联合出版公司,8.6,2024-05-02 11:37:35
飞机视觉史,［英］扎克·斯科特 扎克·斯科特 / 2022 / 天津科学技术出版社,8.9,2024-05-02 11:37:10
假装有趣（有趣有料，金融段子手打造的职场解压利器）,劳阿毛,0.0,2024-04-22 09:51:03
棉花帝国,[美]斯文·贝克特 / 2019 / 民主与建设出版社,8.3,2024-04-16 20:37:44
繁荣与衰退,[美]艾伦·格林斯潘 / 2019 / 中信出版集团股份有限公司,8.5,2024-04-02 19:12:56
我有自己的宇宙,钱婧 / 2024 / 北京联合出版公司,7.8,2024-04-01 23:33:02
达摩达兰论估价,艾斯沃斯. 达摩达兰 / 2010 / 东北财经大学出版社,8.5,2024-03-16 14:48:45
财务建模 (原书第3版),[美] John S. Tjia / 2020 / 机械工业出版社,0.0,2024-03-16 14:31:48
经济学的思维方式,[美] 保罗·海恩 [美] 彼得·勃特克 [美] 大卫·普雷契特科 / 2023 / 浙江文艺出版社,8.9,2024-02-28 19:20:36
世上为什么要有图书馆,杨素秋 / 2024 / 上海译文出版社,8.8,2024-02-17 12:05:50
投资最重要的事,[美] 霍华德·马克斯 Howard Marks / 2012 / 中信出版社,8.7,2024-02-05 21:54:24
金融炼金术,乔治·索罗斯 / 2016 / 海南出版社,8.4,2024-02-05 21:52:10
非理性繁荣（第三版）,[美]罗伯特·J·希勒 / 2016 / 中国人民大学出版社,7.8,2024-02-05 20:34:41
信用创造、货币供求与经济结构,李斌 伍戈 / 2014 / 中国金融出版社,9.1,2024-01-20 11:34:51
企业家精神理论史,[美] 罗伯特·F.埃贝尔 [美] 阿尔伯特·N.林克 / 2023 / 广西师范大学出版社,8.1,2024-01-20 11:33:57
当音乐停止之后,艾伦·布林德 / 2014 / 中国人民大学出版社,8.5,2024-01-20 11:32:21
金融的解释,王福重 / 2014 / 中信出版社,7.5,2024-01-20 11:31:01
大而不倒,[美] 安德鲁·罗斯·索尔金 / 2010 / 中国人民大学出版社,8.4,2024-01-20 11:28:56
中国国家治理的制度逻辑,周雪光 / 2017 / 生活·读书·新知三联书店,9.3,2024-01-20 11:27:34
什么是重庆,星球研究所 / 2023 / 中信出版集团,8.8,2024-01-15 16:49:15
Principles of Sustainable Finance,2019,0.0,2024-01-14 19:14:55
洗牌年代,金宇澄 / 2021 / 上海三联书店,8.1,2024-01-05 17:59:00
当代中国社会分层,李强 / 2019 / 生活·读书·新知三联书店,7.8,2023-12-31 20:15:06
Study Gods,Yi-Lin Chiang 姜以琳 / 2022 / Princeton University Press,6.9,2023-12-17 16:45:59
第二曲线,[英] 查尔斯·汉迪 / 2017 / 机械工业出版社,7.3,2023-12-09 21:04:28
财务诡计,霍华德 M.施利特 杰里米·皮勒 / 2012 / 机械工业出版社,8.0,2023-10-10 22:06:23
玩转财报 (第八版),[美] 约翰·特雷西 [美] 塔格·特雷西 / 2017 / 中国人民大学出版社,7.8,2023-10-10 22:02:50
证券分析师生存指南,[日]堀江信 / 2023 / 机械工业出版社,6.6,2023-09-30 13:23:13
繁荣与停滞,伊藤隆敏 星岳雄 / 2022 / 中信出版社,8.5,2023-09-28 10:45:07
财之道丛书·中国小镇：撬动全球经济的重镇,张梦希 / 2023 / 浙江人民出版社,6.0,2023-09-28 09:19:50
大众金融：颠覆二八定律的新金融行动，构建大型银行发展的第二曲线,田国立 / 2023 / 中信出版社,8.5,2023-08-03 21:35:09
翦商,李硕 / 2022 / 广西师范大学出版社,8.9,2023-07-27 23:42:22
中国债市入门,李奇霖 孙永乐 张德礼 / 2022 / 上海财经大学出版社,9.2,2023-07-21 23:34:15
竞争优势,[美] 布鲁斯·格林沃尔德 [美] 贾德·卡恩 / 2021 / 机械工业出版社,9.1,2023-06-26 14:41:49
非理性繁荣,(美)罗伯特.J.希勒 / 2004 / 中国人民大学出版社,8.0,2023-06-18 23:57:33
醉汉的脚步,[美] 列纳德·蒙洛迪诺 / 2020 / 中信出版集团,8.3,2023-06-18 23:57:18
原则,[美] 瑞·达利欧 / 2022 / 中信出版集团,8.5,2023-06-18 23:56:35
国家的常识,[美]迈克尔·罗斯金(Michael G. Roskin) / 2013 / 世界图书出版公司,8.7,2023-06-12 21:40:04
合并财务报表落地实操,蔺龙文 / 机械工业出版社,0.0,2023-06-10 18:13:39
财务报表分析与证券估值 (原书第5版),[美] 斯蒂芬·H.佩因曼 / 2017 / 机械工业出版社,9.3,2023-05-31 14:49:26
极简哲学史,[英]莱斯莉·莱文 / 2019 / 中信出版社,7.1,2023-05-24 22:19:01
得体,日本无微不至调查委员会 / 2022 / 北京联合出版公司,7.2,2023-05-20 14:42:41
咖啡 咖啡,齐鸣 / 2019 / 江苏凤凰科学技术出版社,8.0,2023-05-20 14:36:19
如何罚点球,(英) 罗勃·伊斯特威 (英) 约翰·黑格 / 2010 / 上海教育出版社,7.4,2023-05-20 14:34:40
货币王者,徐瑾 / 2022 / 上海人民出版社,6.7,2023-05-20 14:34:27
现代中国的形成（1600—1949）,李怀印 / 2022 / 广西师范大学出版社,8.8,2023-05-20 14:31:39
经济学的思维方式,[美] 托马斯·索维尔 / 2018 / 四川人民出版社,8.4,2023-05-20 14:29:30
南腔北调,郑子宁 / 2022 / 海峡书局,7.8,2023-05-20 14:27:37
为什么,[美] 朱迪亚·珀尔 [美] 达纳·麦肯齐 / 2019 / 中信出版集团,8.7,2023-04-23 23:00:59
大崛起,赵燕菁 / 2023 / 中国人民大学出版社,8.1,2023-04-15 19:44:25
粤语（香港话）入门：从零基础到粤语通,张励妍 / 2019 / 三联书店（香港）有限公司,9.2,2023-04-07 19:01:31
优秀的绵羊,[美] 威廉·德雷谢维奇 / 2016 / 九州出版社,8.1,2023-04-07 18:58:00
Say it Better in English,Marianna Pascal / 2007 / Language Success Press,9.1,2023-03-20 00:26:38
新自由主义简史,大卫·哈维 / 2016 / 上海译文出版社,8.6,2023-03-06 18:28:39
不要等到毕业以后,张志 / 2013 / 江苏文艺出版社,8.0,2022-12-28 15:07:08
贫困与饥荒,[印度]阿马蒂亚·森 / 2008 / 商务印书馆,8.7,2022-12-06 21:01:04
被窝是青春的坟墓,七堇年 / 2018 / 四川文艺出版社,7.5,2022-12-02 23:25:13
巴菲特致股东的信 (原书第4版),[美国] 沃伦·巴菲特 劳伦斯·A .坎宁安 编 / 2018 / 机械工业出版社,8.9,2022-10-19 00:08:36
21世纪资本论,[法] 托马斯·皮凯蒂（Thomas Piketty） / 2014 / 中信出版社,8.1,2022-10-19 00:08:00
金融的逻辑,[美] 陈志武 / 2020 / 中信出版集团,7.5,2022-10-19 00:07:04
爱生活，不爱也行,[法] 热拉尔迪娜·莫斯纳-萨瓦 / 2022 / 北京日报出版社,6.4,2022-09-27 12:27:05
私募股权投资管理,欧阳良宜 / 2013 / 北京大学出版社,9.1,2022-09-25 15:02:48
大国治理,陆铭 陈钊 等 / 2021 / 上海人民出版社,7.6,2022-08-21 23:16:55
金字塔原理（全新精装修订版）,[美] 芭芭拉•明托 / 2019 / 南海出版公司,8.0,2022-06-12 17:06:37
分析与思考,黄奇帆 / 2020 / 上海人民出版社,9.1,2022-05-27 21:43:36
转型中的地方政府（第二版）,周黎安 / 2017 / 格致出版社  上海三联书店   上海人民出版社,9.3,2022-05-27 21:42:52
小镇喧嚣,吴毅 / 2018 / 生活·读书·新知三联书店,9.3,2022-05-27 21:41:20
叫魂,[美] 孔飞力 / 2014 / 生活·读书·新知三联书店 上海三联书店,9.2,2022-05-27 21:40:19
以利为利,周飞舟 / 2012 / 上海三联书店,9.4,2022-05-27 21:38:32
扫地出门,[美]马修·德斯蒙德 / 2018 / 广西师范大学出版社,8.7,2022-05-27 13:11:34
病人家属，请来一下,王兴 / 2021 / 上海译文出版社,8.5,2022-05-21 18:55:22
癌症·真相,菠萝 李治中 / 2015 / 清华大学出版社,8.8,2022-05-21 18:54:59
制造同意,[美] 迈克尔·布若威 [英国] 麦克.布洛维 / 2008 / 商务印书馆,8.1,2021-11-23 17:51:11
