标题,简介,豆瓣评分,创建时间,我的评分
黑镜：圣诞特别篇,2014 / 英国 / 剧情 科幻 惊悚 / 卡尔·蒂贝茨 / 乔恩·哈姆 拉菲·斯波,9.1,2021-11-30 23:50:15,5
扬名立万,2021 / 中国大陆 / 剧情 喜剧 悬疑 / 刘循子墨 / 尹正 邓家佳,7.4,2021-11-19 20:36:54,5
无敌浩克,2008 / 美国 / 动作 科幻 惊悚 / 路易斯·莱特里尔 / 爱德华·诺顿 丽芙·泰勒,7.1,2021-11-11 20:02:50,4
复仇者联盟,2012 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·埃文斯,8.3,2021-11-11 20:02:36,4
复仇者联盟4：终局之战,2019 / 美国 / 剧情 动作 科幻 奇幻 冒险 / 安东尼·罗素 乔·罗素 / 小罗伯特·唐尼 克里斯·埃文斯,8.5,2021-11-11 20:02:05,4
哪吒之魔童降世,2019 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫,8.4,2021-11-11 20:01:36,5
头号玩家,2018 / 美国 / 动作 科幻 冒险 / 史蒂文·斯皮尔伯格 / 泰伊·谢里丹 奥利维亚·库克,8.6,2021-11-11 20:01:18,5
调音师,2018 / 印度 / 喜剧 悬疑 惊悚 犯罪 / 斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 塔布,8.2,2021-11-11 20:01:10,5
绝杀慕尼黑,2017 / 俄罗斯 / 剧情 运动 / 安东·梅格尔季切夫 / 弗拉基米尔·马什科夫 约翰·萨维奇,8.1,2021-10-13 19:50:33,4
至暗时刻,2017 / 英国 美国 / 剧情 传记 历史 战争 / 乔·赖特 / 加里·奥德曼 克里斯汀·斯科特·托马斯,8.5,2021-10-13 19:50:19,4
少年的你,2019 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曾国祥 / 周冬雨 易烊千玺,8.2,2021-10-13 19:49:57,4
信条,2020 / 美国 英国 / 剧情 动作 科幻 / 克里斯托弗·诺兰 / 约翰·大卫·华盛顿 罗伯特·帕丁森,7.6,2021-10-13 19:49:41,5
利刃出鞘,2019 / 美国 / 剧情 喜剧 悬疑 犯罪 / 莱恩·约翰逊 / 丹尼尔·克雷格 安娜·德·阿玛斯,8.1,2021-10-13 19:49:35,5
失控玩家,2021 / 美国 加拿大 / 喜剧 动作 科幻 / 肖恩·利维 / 瑞安·雷诺兹 朱迪·科默,7.5,2021-10-13 19:49:34,5
绿皮书,2018 / 美国 中国大陆 / 剧情 喜剧 音乐 传记 / 彼得·法雷里 / 维果·莫腾森 马赫沙拉·阿里,8.9,2021-10-13 19:49:20,5
82年生的金智英,2019 / 韩国 / 剧情 / 金度英 / 郑裕美 孔刘,8.6,2021-10-13 19:48:52,5
蜘蛛侠：平行宇宙,2018 / 美国 / 动作 科幻 动画 冒险 / 鲍勃·佩尔西凯蒂 彼得·拉姆齐 罗德尼·罗斯曼 / 沙梅克·摩尔 杰克·约翰逊,8.6,2021-02-13 23:28:32,5
乔乔的异想世界,2019 / 美国 捷克 新西兰 / 剧情 喜剧 战争 / 塔伊加·维迪提 / 罗曼·格里芬·戴维斯 托马辛·麦肯齐,8.3,2021-02-11 00:20:18,5
