标题,简介,豆瓣评分,创建时间
辛普森一家,2007 / 美国 / 喜剧 动画 冒险 / 大卫·西尔弗曼 / 丹·卡斯泰兰尼塔 朱莉·卡夫娜,8.4,2022-02-19 18:50:15
胜者即是正义,2012 / 日本 / 剧情 喜剧 犯罪 / 石川淳一 城宝秀则 / 堺雅人 新垣结衣,9.4,2022-02-18 12:32:53
马男波杰克 第一季,2014 / 美国 / 剧情 喜剧 动画 / J·C·冈泽尔兹 / 亚伦·保尔 威尔·阿奈特,9.2,2022-02-18 12:30:35
路易不容易 第一季,2010 / 美国 / 喜剧 / 路易·C·K / 路易·C·K 乌苏拉·帕克,9.0,2022-02-18 12:30:02
心灵猎人 第一季,2017 / 美国 / 剧情 惊悚 犯罪 / 大卫·芬奇 安德鲁·道格拉斯 阿斯弗·卡帕迪尔 托比亚斯·林道赫姆 / 乔纳森·格罗夫 霍特·麦克卡兰尼,9.0,2022-02-18 12:29:17
摩登情爱 第一季,2019 / 美国 / 喜剧 爱情 / 约翰·卡尼 埃米·罗森 汤姆·豪尔 莎朗·豪根 / 安妮·海瑟薇 安德鲁·斯科特,8.8,2022-02-18 12:28:58
半泽直树,2013 / 日本 / 剧情 / 福泽克雄 棚泽孝义 田中健太 / 堺雅人 上户彩,9.2,2022-02-18 12:28:30
逃避虽可耻但有用,2016 / 日本 / 喜剧 / 金子文纪 土井裕泰 石井康晴 / 新垣结衣 星野源,8.4,2022-02-18 12:28:15
绝命毒师 第一季,2008 / 美国 / 剧情 犯罪 / 亚当·伯恩斯坦 文斯·吉里根 翠西亚·布洛克 蒂姆·亨特 吉姆·麦凯 布朗温·休斯 / 布莱恩·克兰斯顿 亚伦·保尔,9.2,2022-02-18 12:28:01
芸芸众生,2021 / 美国 / 科幻 / 大卫·威尔 萨姆·泰勒·约翰逊 扎克·布拉夫 Tiffany Johnson / 安妮·海瑟薇 摩根·弗里曼,7.5,2022-02-18 12:27:28
萤火虫之墓,1988 / 日本 / 剧情 动画 战争 / 高畑勋 / 辰己努 白石绫乃,8.7,2022-02-17 18:15:05
我的邻居山田君,1999 / 日本 / 喜剧 动画 家庭 / 高畑勋 / 朝丘雪路 益冈彻,8.8,2022-02-17 18:09:33
你的孩子不是你的孩子,2018 / 中国台湾 / 剧情 科幻 家庭 / 陈慧翎 / 柯素云 刘子铨,8.6,2022-02-17 18:04:06
爱的曝光,2008 / 日本 / 剧情 喜剧 动作 爱情 / 园子温 / 西岛隆弘 满岛光,8.3,2022-02-17 10:24:04
去他*的世界 第一季,2017 / 英国 / 剧情 喜剧 爱情 犯罪 / 乔纳森·恩特威斯尔 露西·彻尼亚克 / 杰西卡·巴登 埃里克斯·劳瑟,9.1,2022-02-17 10:18:10
虫师,2005 / 日本 / 剧情 动画 悬疑 惊悚 恐怖 奇幻 / 长滨博史 今泉贤一 长井龙雪 长峰达也 山崎理 五十岚卓哉 宫下新平 成田岁法 五月女浩一朗 真野玲 井之川慎太郎 宫田亮 / 中野裕斗 土井美加,9.4,2022-02-17 10:16:34
极主夫道,2021 / 日本 / 剧情 动画 / 今千秋 / 津田健次郎 伊藤静,7.9,2022-01-20 11:55:36
酒鬼都市女人们,2021 / 韩国 / 剧情 / 金正植 / 李先彬 韩善花,8.9,2022-01-20 11:54:56
爱很美味,2021 / 中国大陆 / 剧情 喜剧 爱情 / 陈正道 许肇任 / 李纯 张含韵,8.1,2022-01-20 11:54:40
极限17 羽你同行,2019 / 中国大陆 / 剧情 爱情 运动 / 姜秀琼 / 杨超越 梁靖康,7.5,2022-01-15 20:14:30
拜托了♪我的旋律 Kirara★,2008 / 日本 / 动画 / 森脇真琴 福本潔 / 佐久间玲 竹内顺子,9.0,2021-12-24 22:57:54
无职转生：到了异世界就拿出真本事,2021 / 日本 / 动画 冒险 / 冈本学 / 内山夕实 小原好美,5.6,2021-12-20 00:15:46
少年游之一寸相思,2020 / 中国大陆 / 爱情 武侠 古装 / 毛鲲宇 / 张耀 张雅钦,7.9,2021-12-13 17:03:12
超感猎杀：完结特别篇,2018 / 美国 / 剧情 科幻 同性 / 拉娜·沃卓斯基 / 裴斗娜 杰米·克莱顿,9.2,2021-11-30 23:50:05
灵魂摆渡,2014 / 中国大陆 / 剧情 惊悚 恐怖 / 巨兴茂 郭世民 / 于毅 肖茵,8.7,2021-11-24 23:02:00
日常幻想指南,2021 / 中国大陆 / 喜剧 爱情 奇幻 / 梁栋 / 王彦霖 焦俊艳,4.9,2021-09-11 21:49:08
月升王国,2012 / 美国 / 剧情 儿童 / 韦斯·安德森 / 杰瑞德·吉尔曼 卡拉·海沃德,8.4,2021-02-11 00:07:22
